Name	Mean	LogFC	pValue	p.Adj	diffexpressed
FBtr0304277	220.26974682494517	-1.552317562195115	1.8529195074484413e-7	6.3369847154736695e-6	DOWN
FBtr0304292	11682.209780444648	0.6181951621215407	6.038099977629427e-8	3.682270800646729e-6	UP
FBtr0304313	8.369193621588709	1.6286278853670884	5.77500882964056e-4	0.0041146937911188996	UP
FBtr0304337	71.97093979901267	0.8228648666658411	2.5900087995726536e-6	4.9210167191880415e-5	UP
FBtr0304528	25055.01376326081	0.8274464857034668	4.19830766833323e-8	3.682270800646729e-6	UP
FBtr0304217	9324.075228488726	-0.9823644027959672	6.460124211660928e-8	3.682270800646729e-6	DOWN
FBtr0304230	5162.305533379432	-1.0829295126445786	1.585959289323358e-6	3.3899879809286774e-5	DOWN
FBtr0304245	12.581442439514634	-1.7964181570590199	5.885888024693517e-5	5.591593623458841e-4	DOWN
FBtr0304250	2688.5034258641313	0.74613017742076	9.1890039804814e-6	1.3094330672185994e-4	UP
FBtr0304270	155.86678861535373	-2.0879108345657493	0.0015776112668918587	0.009634697379946707	DOWN
FBtr0304275	98.73432030306762	0.7207086536422826	2.89821283304166e-5	3.3039626296674923e-4	UP
FBtr0304288	2713.042781474638	-1.284846715276881	5.052069306570448e-7	1.2341483591764951e-5	DOWN
FBtr0304290	39.51591600366589	-1.4714960840755844	2.4166697989712663e-4	0.001796741459235159	DOWN
FBtr0304331	1370.470792672052	-1.8070430907388468	4.507449806335166e-7	1.2341483591764951e-5	DOWN
FBtr0304333	159.83554117515396	0.5963939454377025	3.873031553100246e-6	6.62288395580142e-5	UP
FBtr0304353	44580.641467038724	-0.7479974508279538	6.207076737632389e-4	0.004245640488540554	DOWN
FBtr0304357	165.13938198726544	0.7362305969303651	2.7352471877388796e-5	3.3039626296674923e-4	UP
FBtr0304402	968.3618081062017	1.1910492906721202	1.5910048777051204e-5	2.0927833391351966e-4	UP
FBtr0304436	1080.3557477472066	0.7788788335914759	8.935138608075064e-6	1.3094330672185994e-4	UP
FBtr0304530	166.01090127057512	0.6075290805782558	1.8361768370453208e-4	0.0014951725673083326	UP
FBtr0309714	12.003721137232084	-1.4472723233811569	2.1961996635150673e-4	0.0017070461020958023	DOWN
