Gene	logFC_SDMad	p.Adj_SDMad	logFC_SD5	p.Adj_SD5
asp	-0.8434461682680905	0.9394341859433061	0.612630355093401	8.893024086016394e-35
chic	-0.9758728199537694	0.9394341859433061	0.7196780693731055	2.7442076725199684e-41
Chc	-0.9569898723591809	0.9394341859433061	0.24098741030841858	4.246666937257639e-6
shi	-0.9867588118541182	0.9394341859433061	-0.17709325359615288	5.317072119300788e-4
sw	-0.90765669446002	0.9394341859433061	-2.969757259892844	0
hid	-0.5273062595755296	0.9394341859433061	0.24399515804532532	0.05895397649805736
heph	-1.0483339903627502	0.9394341859433061	0.6919758140524617	2.3702152451494877e-42
jar	-0.9017607359032855	0.9394341859433061	-0.2571909111443957	1.509484217880506e-9
poe	-1.1062119201718057	0.9394341859433061	0.2635740550584887	2.0007470072516005e-8
scat	0.7421793824246551	0.9394341859433061	0.49560673605574745	7.164495610749258e-5
Hsp60B	-1.0252604786791355	0.9394341859433061	-0.5373560594203576	7.434180136443423e-33
ctp	-0.8873166712461034	0.9394341859433061	-0.05579227471107227	0.5559604236522122
Rab11	-0.8685667513414999	0.9394341859433061	-0.4308921276104188	2.613278961068563e-10
Osbp	-0.92418757955737	0.9394341859433061	-0.3313441608528766	7.567202398234561e-7
Vps28	-0.9442599817041064	0.9394341859433061	0.36500461011477636	1.5796580754428452e-10
Npc1a	-1.1602253677081256	0.9394341859433061	-0.5953825801536242	1.435380556003691e-20
Dlc90F	-1.0139677781155565	0.9394341859433061	-0.30868263575537197	3.679301811482453e-8
Dronc	-0.6660075738235479	0.9394341859433061	-0.2449575851353661	0.03092927548105045
Taz	-0.8912547054911284	0.9394341859433061	-0.08614010152879512	0.20654354231830171
nes	-0.7114413822032168	0.9394341859433061	-0.36157991877752443	1.729517241846099e-8
fan	-0.8819190071344962	0.9394341859433061	-0.05507751817300925	0.4086128328268022
Pink1	-0.8691031953851488	0.9394341859433061	0.3497066239909119	2.189936116779435e-12
TTLL3B	-0.9722348187309511	0.9394341859433061	0.1389692599825964	0.004434136055508344
gudu	-0.9992560202933843	0.9394341859433061	-1.1307745987036064	1.7524404589251408e-97
Bug22	-1.0677908632689521	0.9394341859433061	-0.29265108373907717	3.2587311367603453e-7
oys	-0.7505234105992291	0.9394341859433061	-0.10000121748139135	0.07322752181349747
eIF3m	-0.8821310902724058	0.9394341859433061	0.2808509411359583	4.22691020096192e-5
Dcr-2	-0.013223491816125118	0.9965972015899738	0.03582214369045453	0.7392341153149787
Rae1	1.1495673679069336	0.9394341859433061	1.803744459208091	2.164836126289133e-98
nsr	-1.0521432788477307	0.9394341859433061	-0.12915341893500665	0.06396368622057068
ntc	-0.9827245411518373	0.9394341859433061	-0.7093377705504416	1.2896343643718798e-21
blanks	-1.0798337527259865	0.9394341859433061	0.21801876200211495	0.0022573968828947947
aux	-0.6564978196286742	0.9394341859433061	0.3891018260943514	1.369039997873117e-9
soti	-1.1980274817508756	0.9394341859433061	-0.43487977454552473	4.336297151756073e-18
Gld2	-0.8378686471970725	0.9394341859433061	0.3969981374653477	1.0037872492714106e-8
mfrn	-0.9635960519471234	0.9394341859433061	0.5656573227766343	9.30590422281436e-34
klhl10	-0.9888627722811165	0.9394341859433061	-0.3428540414399635	2.143290248101112e-11
Top3alpha	-0.02302343872150927	0.991715423372306	-0.49151192485434037	1.3995849617660323e-4
Roc1b	-0.7562631087890305	0.9394341859433061	-1.4930816793606043	4.0574071132209636e-15
park	-0.13779374547865272	0.9681105643558032	0.3363773546054213	3.0583322251606545e-5
yuri	-0.9299637904856861	0.9394341859433061	0.24894517376365163	6.191420948331705e-8
Lasp	-1.0430894510611437	0.9394341859433061	-0.20771007880108935	4.789825905911525e-5
Cyt-c-d	-0.9778981222018099	0.9394341859433061	-1.295943696493159	1.1020498036074722e-154
AGO2	-1.0835887926644323	0.9394341859433061	-0.35469311577124074	4.764736887359298e-9
gish	-1.0690602741532662	0.9394341859433061	-0.3491013574021596	2.5662829195736152e-11
Prosalpha6	-0.5512735820227226	0.9394341859433061	1.022117205341551	2.3181450129721668e-33
Baldspot	-0.7920150684382732	0.9394341859433061	-0.1772847201222264	0.01044368044754516
Cul3	-1.0755143851061506	0.9394341859433061	0.04556665002886502	0.43485804666840194
didum	-0.9932136898111447	0.9394341859433061	-0.15834590027059303	3.4118383669131156e-4
Arp3	-0.17282482988665215	0.9533868552997595	-0.05831122152125836	0.616478324654142
Dark	0.11571833884868352	0.9690667306832725	0.2596843960283358	0.009454769056271397
Dic61B	-0.8862929441541084	0.9394341859433061	0.18194523468569965	0.0075691709832531135
orb2	-1.0160920701066605	0.9394341859433061	-0.16247994054253506	6.318961840347304e-4
eIF4E3	-0.9085472328825337	0.9394341859433061	0.28546173206263026	1.2372982235294844e-7
mlt	-0.9422352569963742	0.9394341859433061	0.07947067932988805	0.20719237347861838
Bruce	-1.0624965552831511	0.9394341859433061	0.3618446085128103	3.4549382529688044e-14
rn	-0.14698122409489706	0.9591777470880288	-0.08956737081610035	0.5099130620035128
